Root_ID	Top_in_out_region	Community_labels	Predicted_NT_type	Predicted_NT_confidence	Verified_NT_type	Verified_Neuropeptide	Body_Part	Function	Flow	Super_Class	Class	Sub_Class	Hemilineage	Nerve	Soma_side	Primary_Cell_Type	Alternative_Cell_Types	Cable_length_nm	Surface_area_nm^2	Volume_nm^3
720575941569013106	ME	CNS_neuron_soma_in_brain	GABA	0.74	gaba_nitric_oxide	_	_	_	intrinsic	optic_lobe_intrinsic	medulla_intrinsic	_	_	_	right	Mi4	Mi4	_	_	_
720575941569014516	T3_METANM	soma_in_VNC	ACH	0.77	acetylcholine	_	_	_	intrinsic	ventral_nerve_cord_intrinsic	_	ventral_nerve_cord_ipsilateral_restricted	17A	_	left	IN17A020	IN17A020	_	_	_
720575941569015802	ME.LO	soma_in_brain	ACH	0.93	_	_	_	_	_	_	_	_	_	_	right	_	_	_	_	_
720575941569016058	ME	CNS_neuron_soma_in_brain	ACH	0.62	acetylcholine	_	_	_	intrinsic	optic_lobe_intrinsic	transmedullary	_	_	_	right	Tm16	Tm16	_	_	_
720575941569018874	ME.LO	soma_in_brain	ACH	0.91	_	_	_	_	_	_	_	_	_	_	right	_	_	_	_	_
720575941569021684	MB_CA.NO_CONS	soma_in_brain	_	_	_	_	_	_	_	central_brain_intrinsic	kenyon_cell	_	_	_	left	_	_	_	_	_
720575941569023476	AVLP.SIP	soma_in_brain	GABA	0.85	_	_	_	_	intrinsic	central_brain_intrinsic	_	_	LALa1_anterior	_	right	WED014	WED014	_	_	_
720575941569027316	UNASSIGNED.HTCT	_	ACH	0.93	_	_	haltere	mechanical_strain_proprioception	afferent	sensory	campaniform_sensillum_neuron	haltere_campaniform_sensillum_neuron	_	left_dorsal_metathoracic_nerve	left	SApp05	SApp05	_	_	_
720575941569031674	AVLP.PVLP	_	GABA	0.89	_	_	_	_	_	_	_	_	_	_	left	_	_	_	_	_
720575941569036282	ME.LO	CNS_neuron_soma_in_brain	ACH	0.92	acetylcholine	_	_	_	intrinsic	optic_lobe_intrinsic	transmedullary	_	_	_	right	Tm9	Tm9	_	_	_
720575941569037562	MB_CA.MB_PED	CNS_neuron_soma_in_brain	DA	0.61	acetylcholine	sNPF	_	_	intrinsic	central_brain_intrinsic	kenyon_cell	KCg	MBp1	_	right	KCg-m	KCg-m	_	_	_
720575941569038324	T2_MESONM.T2_MVAC	_	GABA	0.82	acetylcholine	_	middle_leg	proprioception_vibro_tactile	afferent	sensory	chordotonal_organ_neuron	middle_leg_club_chordotonal_organ_neuron	_	right_mesothoracic_leg_nerve	right	SNpp58	SNpp58	_	_	_
720575941569038706	ME.LO	soma_in_brain	ACH	0.57	_	_	_	_	_	_	_	_	_	_	right	_	_	_	_	_
720575941569046266	T1_PRONM	_	GABA	0.52	_	_	hind_leg	tactile	afferent	sensory	bristle_neuron	hind_leg_bristle_neuron	_	right_prothoracic_leg_nerve	right	SNta32	SNta32	_	_	_
