Root_ID	Top_in_out_region	Verified_NT_type
720575941390690966	T1_PRONM	glutamate
720575941390702742	T3_METANM	gaba
720575941390713238	T2_MESONM	acetylcholine
720575941390724246	T1_MVAC	gaba
720575941390725270	T1_PRONM	gaba
720575941390728598	T1_PRONM	acetylcholine
720575941390742934	T3_METANM	gaba
720575941390750358	T3_METANM	gaba
720575941390767254	T3_METANM	gaba
720575941390774678	T3_METANM	gaba
720575941390822404	T1_PRONM	gaba
720575941390883478	T1_PRONM	gaba
720575941390911492	MB_CA.MB_PED	acetylcholine
720575941390989060	MB_ML	acetylcholine
720575941390994948	FB	tyramine
720575941391018244	LOP	glutamate
720575941391024900	LO.LOP	acetylcholine
720575941391029398	EB	gaba
720575941391038468	T1_PRONM	glutamate
720575941391039236	ME.LO	acetylcholine
720575941391078404	ME	acetylcholine
720575941391081110	SCL.UNASSIGNED	acetylcholine
720575941391126276	LO	acetylcholine
720575941391127958	EB	gaba
720575941391130628	ME	gaba
720575941391151620	ME	gaba
720575941391154436	ME.LOP	acetylcholine
720575941391178756	ME.LOP	acetylcholine
720575941391207574	T1_PRONM	glutamate
720575941391210756	ME.LOP	acetylcholine
720575941391212548	ME	glutamate
720575941391226116	LO.UNASSIGNED	acetylcholine
720575941391229188	ME.LOP	acetylcholine
720575941391233284	ME.LOP	acetylcholine
720575941391237380	ME	acetylcholine
720575941391244548	ME	acetylcholine
720575941391252630	T1_PRONM	acetylcholine
720575941391255556	LO.LOP	acetylcholine
720575941391275780	ME.LOP	acetylcholine
720575941391278084	LO.LOP	acetylcholine
720575941391349252	ME	gaba_nitric_oxide
720575941391354116	LO.LOP	acetylcholine
720575941391371158	MB_CA.NO_CONS	acetylcholine
720575941391385750	ME.LOP	acetylcholine
720575941391393174	LO.LOP	acetylcholine
720575941391403926	LO.LOP	acetylcholine
720575941391408790	LO.LOP	acetylcholine
720575941391410582	LO.LOP	acetylcholine
720575941391416726	ME.LOP	acetylcholine
720575941391432598	ME.LOP	acetylcholine
720575941391433732	ME	acetylcholine
720575941391444886	ME.LOP	acetylcholine
720575941391445910	ME.LOP	acetylcholine
720575941391446788	ME	acetylcholine
720575941391451908	ME	acetylcholine_dopamine_nitric_oxide
720575941391458710	ME	glutamate
720575941391465476	ME	glutamate
720575941391465732	ME	acetylcholine
720575941391465988	ME.LO	acetylcholine
720575941391467414	ME	glutamate
720575941391476118	ME.LOP	acetylcholine
720575941391477910	LO.LOP	acetylcholine
720575941391478788	ME.LO	acetylcholine
720575941391485078	ME.LOP	acetylcholine
720575941391489796	ME	acetylcholine
