root_id	group	nt_type
720575940603497184	ME	GABA
720575940603498357	ME.LOP	ACH
720575940603498613	ME.LOP	ACH
720575940603498869	ME.LOP	ACH
720575940603501024	ME.LO	ACH
720575940603507302	PLP.IPS	ACH
720575940603507372	SCL.SLP	GLUT
720575940603514141	FLA.PRW	GABA
720575940603516006	AVLP	ACH
720575940603520172	MB_CA.MB_VL	ACH
720575940603526005	ME.LOP	ACH
720575940603530464	ME.LO	ACH
720575940603533246	AMMC	GABA
720575940603537766	GNG	GLUT
720575940603538348	LO.PVLP	ACH
720575940603539424	ME	GLUT
720575940603544363	LO.LOP	ACH
720575940603545190	GNG	ACH
720575940603548640	CRE.LAL	GABA
720575940603549868	SMP	ACH
720575940603552736	LO.PVLP	ACH
720575940603556198	SLP	ACH
720575940603556981	ME.LOP	ACH
720575940603557920	ME.LO	ACH
720575940603563893	ME.LOP	ACH
720575940603565856	PLP.ICL	ACH
720575940603568757	ME.LOP	ACH
720575940603574374	AVLP	ACH
720575940603578848	LO.PVLP	ACH
720575940603579616	SMP	ACH
720575940603580960	IPS.GNG	ACH
720575940603587500	SIP.CRE	ACH
720575940603590246	SCL.SMP	GLUT
720575940603591014	SPS.GNG	ACH
720575940603595366	AVLP	ACH
720575940603596972	PLP	ACH
720575940603599206	GNG	ACH
720575940603600230	GNG	ACH
720575940603604258	LO.LOP	ACH
720575940603605538	LOP	ACH
720575940603609824	AVLP	ACH
720575940603616800	SAD.WED	ACH
720575940603618494	ME	ACH
720575940603620268	AVLP	ACH
720575940603621344	SLP	GLUT
720575940603622828	AVLP	ACH
720575940603636913	SAD.WED	ACH
720575940603637438	LO	ACH
720575940603642982	MB_CA.MB_VL	ACH
720575940603659488	AL	ACH
720575940603663276	GNG.IPS	GLUT
720575940603663974	SLP	ACH
720575940603667884	AVLP	GLUT
720575940603672032	LO.PVLP	ACH
720575940603673056	AVLP.IB	ACH
720575940603673120	MB_CA.MB_VL	ACH
720575940603674656	MB_CA.MB_VL	ACH
720575940603676076	FLA	ACH
720575940603676448	VES.PLP	ACH
720575940603676774	FB	ACH
720575940603676844	FB	GLUT
720575940603683505	AVLP	GABA
720575940603686624	PLP	ACH
720575940603687084	MB_ML	ACH
720575940603688224	MB_CA.MB_VL	ACH
720575940603688226	LO.LOP	ACH
720575940603692256	AVLP	ACH
720575940603693158	SMP	ACH
720575940603695025	AVLP	ACH
720575940603701472	ME.LO	ACH
720575940603707657	ME.LO	ACH
720575940603713248	AVLP	GLUT
720575940603714272	IPS	ACH
720575940603714652	LO.LOP	ACH
720575940603715296	SMP	ACH
720575940603718316	ME	ACH
720575940603719614	AVLP.ICL	GLUT
720575940603719712	MB_CA.MB_ML	ACH
720575940603720294	AVLP	ACH
720575940603721248	MB_CA.MB_VL	ACH
720575940603722412	AVLP	ACH
720575940603727840	PVLP.AVLP	GABA
720575940603728561	GNG	ACH
720575940603730144	WED.PLP	GABA
720575940603731168	FB	GLUT
720575940603739104	SIP	ACH
720575940603744992	SLP	ACH
720575940603747360	NO.FB	ACH
720575940603747616	MB_CA.MB_VL	ACH
720575940603751782	MB_CA.MB_VL	ACH
720575940603751857	SMP	ACH
720575940603761836	LO.LOP	ACH
720575940603766374	PLP.IPS	ACH
720575940603767980	ME.LO	ACH
720575940603773798	MB_CA.MB_VL	ACH
720575940603784620	ME	GLUT
720575940603789228	VES	ACH
720575940603792352	SPS.PLP	ACH
720575940603792486	GNG	ACH
720575940603795116	LOP.LO	GLUT
720575940603797420	ME.LOP	ACH
720575940603801056	GNG	GABA
720575940603804350	PLP.AVLP	GABA
720575940603804704	IPS.WED	ACH
720575940603809452	ME	ACH
720575940603814060	AVLP	GABA
720575940603817900	LO	ACH
720575940603818464	LO.LOP	ACH
720575940603820716	AL	ACH
720575940603821792	ME	GABA
720575940603823136	LO.AOTU	ACH
720575940603823462	EB	ACH
720575940603825120	PVLP.AVLP	GLUT
720575940603827633	PVLP	GLUT
720575940603828704	AL	SER
720575940603829950	VES.SPS	GABA
720575940603832288	AL	ACH
720575940603839753	LOP	GLUT
720575940603841964	ME	GLUT
720575940603842476	ME.LOP	ACH
720575940603842988	ME.LO	ACH
720575940603844017	FB	ACH
720575940603853090	ME	GLUT
720575940603853792	SLP	ACH
720575940603854182	SMP.SLP	ACH
720575940603856352	AVLP	GABA
720575940603859372	ME	GLUT
720575940603860000	LO.AOTU	ACH
720575940603870380	LAL	ACH
720575940603871404	AL	ACH
720575940603873033	LO.LOP	ACH
720575940603874494	IPS	ACH
720575940603874784	SPS.GNG	ACH
720575940603875616	PRW.FLA	ACH
720575940603877408	PLP.SMP	GABA
720575940603882174	WED	ACH
720575940603882720	MB_CA.MB_ML	ACH
720575940603883232	MB_CA.MB_ML	ACH
720575940603884512	ME	ACH
720575940603885856	VES.SPS	GABA
720575940603886880	LO.PLP	ACH
720575940603889086	WED	GABA
720575940603893216	PLP.SCL	ACH
720575940603893280	ME	ACH
720575940603895584	EB	GABA
720575940603896748	LO	ACH
720575940603899936	VES.SPS	GABA
720575940603903264	AMMC.WED	GLUT
720575940603904496	ME.LOP	ACH
720575940603905312	PLP	ACH
720575940603909804	LO.PVLP	ACH
720575940603911340	AL	ACH
720575940603915436	ME.LO	ACH
720575940603917228	LOP	GABA
720575940603918769	WED	ACH
720575940603919537	LAL.EB	GABA
720575940603923116	ME	ACH
720575940603924512	AVLP.ICL	GLUT
720575940603925280	FB	ACH
720575940603926188	LAL	GLUT
720575940603930046	AMMC.SAD	ACH
720575940603932448	FB	ACH
720575940603932640	LO	GLUT
720575940603934892	ME	ACH
720575940603935334	ME	ACH
720575940603938238	CRE.LAL	GABA
720575940603940012	LO.LOP	ACH
720575940603942334	SIP.FLA	ACH
720575940603942828	PVLP.AVLP	GABA
720575940603942846	NO.FB	ACH
720575940603942944	NO.FB	ACH
720575940603943648	SMP.PRW	ACH
720575940603944382	FLA.SMP	ACH
720575940603944672	PVLP.LO	ACH
720575940603948716	LO.ME	ACH
720575940603948832	ME.LO	ACH
720575940603949024	AOTU	ACH
720575940603951806	SMP	ACH
720575940603952608	PVLP	GABA
720575940603956838	GNG.SPS	ACH
720575940603957694	AVLP	ACH
720575940603962214	LO.AOTU	ACH
720575940603964774	EB	GABA
720575940603974880	SMP	ACH
720575940603975392	LO	ACH
720575940603976672	ICL.SCL	ACH
720575940603977062	PLP.CRE	GLUT
720575940603979488	LO.PLP	ACH
720575940603981536	AVLP.SCL	GLUT
720575940603984486	MB_CA.MB_ML	ACH
720575940603985952	AL.MB_CA	ACH
720575940603987390	ME	ACH
720575940603988838	MB_CA.MB_ML	ACH
720575940603989420	LO.PVLP	ACH
720575940604007392	ME.LO	ACH
720575940604008160	AL	GABA
720575940604008672	MB_CA	ACH
720575940604009062	ME	ACH
720575940604009952	IPS	ACH
720575940604010412	ME.PLP	ACH
720575940604012134	ME.LO	ACH
720575940604013926	ME.LO	ACH
720575940604014112	ME	GLUT
720575940604014508	SPS.LAL	ACH
720575940604016608	LO	ACH
720575940604018208	GNG	GLUT
720575940604019424	FB	ACH
720575940604021425	CRE	GABA
720575940604023724	GNG	GABA
720575940604023980	ME.PLP	ACH
720575940604024934	LO	ACH
720575940604027168	GNG	ACH
720575940604030176	LO.IB	ACH
720575940604030566	GNG	ACH
720575940604030636	LOP.PLP	ACH
720575940604031678	CRE	GLUT
720575940604033708	FB.CRE	ACH
720575940604038880	ME	ACH
720575940604045484	PLP	ACH
720575940604050110	MB_CA.MB_ML	ACH
720575940604054188	SAD.AMMC	ACH
