cell_type,root_id,root_626,fafb_match,fafb_nblast,manc_match,manc_nblast
DNge037,720575941492328167,720575941492328167,720575940608188427,0.5,10562,0.47
ANXXX027,720575941433210977,720575941450261341,720575940628595944,0.49,15069,0.56
DNp06,720575941611791590,720575941611791590,720575940622673860,0.51,11221,0.55
AN00A002,720575941433075470,720575941433075470,"720575940637842246, 720575940622714004",0.25,10650,0.4
DNge048,720575941515944803,720575941515944803,720575940609376707,0.46,12025,0.45
DNp35,720575941595193558,720575941595193558,720575940623276168,0.54,14948,0.32
DNg102,720575941500828578,720575941536140993,720575940630480348,0.48,11693,0.38
AN27X011,720575941629968166,720575941629968166,720575940635591776,0.3,11013,0.42
DNbe004,720575941453030983,720575941453030983,720575940653310198,0.51,11637,0.54
ANXXX027,720575941467131670,720575941467131670,720575940616553300,0.48,11259,0.55
AN27X011,720575941504860978,720575941504860978,720575940637388004,0.36,11392,0.43
ANXXX006,720575941445141012,720575941445141012,720575940619822942,0.53,10769,0.35
ANXXX027,720575941593765672,720575941593765672,720575940628635751,0.47,10903,0.55
DNa11,720575941526946562,720575941526946562,720575940623019544,0.52,18107,0.58
DNge104,720575941459823519,720575941473933664,720575940640723315,0.48,10868,0.56
AN05B006,720575941560024847,720575941560024847,720575940630609170,0.38,10758,0.54
AN04B001,720575941596695591,720575941592984616,720575940603599206,0.57,10314,0.55
DNg29,720575941662407992,720575941662407992,720575940622579967,0.52,11622,0.46
ANXXX043,720575941404923248,720575941404923248,720575940635047068,0.44,21139,0.5
AN12B006,720575941486980560,720575941486980560,720575940620706486,0.44,10356,0.59
DNg102,720575941469775069,720575941469775069,720575940624877360,0.46,11798,0.46
DNge073,720575941556379108,720575941556379108,720575940629304702,0.47,11270,0.52
DNpe021,720575941616497561,720575941414262161,720575940629155227,0.44,11647,0.58
ANXXX013,720575941557603556,720575941527018009,720575940625355920,0.43,10567,0.52
DNg93,720575941478508830,720575941490416181,720575940613019541,0.46,10420,0.56
DNp48,720575941477915700,720575941477915700,720575940621031006,0.66,13203,0.61
DNa01,720575941535862506,720575941535862506,720575940627787609,0.52,10760,0.48
ANXXX027,720575941553999387,720575941553999387,720575940628635751,0.5,10149,0.51
DNa11,720575941663497084,720575941663497084,720575940611735514,0.51,17155,0.57
DNpe045,720575941461875908,720575941461875908,720575940637341668,0.52,12746,0.52
DNg88,720575941480974048,720575941528109222,720575940623355114,0.55,11772,0.63
ANXXX013,720575941603727545,720575941603727545,720575940619932363,0.5,10549,0.51
DNge136,720575941431184559,720575941431184559,720575940606425033,0.41,12747,0.44
ANXXX027,720575941449745333,720575941449745333,720575940615537041,0.5,10577,0.54
AN04A001,720575941476980785,720575941476980785,720575940641781152,0.34,10516,0.51
DNp18,720575941595189029,720575941595189029,720575940618440000,0.49,10021,0.65
DNae005,720575941595590951,720575941595590951,720575940614403178,0.53,16541,0.63
DNa06,720575941581684601,720575941581684601,720575940640325429,0.48,15344,0.48
DNge136,720575941441243839,720575941441243839,720575940606425033,0.44,12747,0.32
DNg104,720575941519462766,720575941519462766,720575940623503318,0.46,15950,0.46
DNge138,720575941510651152,720575941510651152,720575940611108676,0.33,"16333, 154401",0.28
DNge136,720575941480759971,720575941480759971,720575940633996883,0.4,12617,0.44
DNg13,720575941535086424,720575941535086424,720575940606112940,0.52,11048,0.58
DNp68,720575941574715208,720575941486692493,720575940617952034,0.5,15134,0.48
DNpe020,720575941427934548,720575941427934548,720575940624766700,0.38,"22586, 21696",0.2
DNp59,720575941572671995,720575941572671995,720575940614581410,0.51,12698,0.38
DNp11,720575941505537986,720575941514461772,720575940620054694,0.49,10122,0.45
DNa13,720575941598907072,720575941598907072,720575940616286175,0.57,10967,0.68
AN05B099,720575941660289104,720575941458897392,720575940630780589,0.47,13160,0.53
DNg70,720575941478429802,720575941478429802,720575940632524559,0.48,21750,0.23
DNg27,720575941662506040,720575941662506040,720575940644666660,0.44,13443,0.48
DNa16,720575941660533840,720575941496011719,720575940632962786,0.53,10987,0.43
DNge036,720575941548238004,720575941438655506,720575940632486969,0.51,19266,0.52
AN07B005,720575941496642944,720575941496642944,720575940641781152,0.56,10295,0.57
DNae002,720575941652633585,720575941652633585,720575940620380449,0.51,10697,0.6
IN08B003_AN,720575941553919806,720575941447461908,720575940633119149,0.47,10301,0.46
AN09B001,720575941463764368,720575941594006891,720575940610125688,0.53,13416,0.61
AN04A001,720575941441906779,720575941441906779,720575940620589147,0.4,12834,0.56
DNa09,720575941543045149,720575941543045149,720575940634140883,0.54,12259,0.6
DNp13,720575941491877833,720575941595955569,720575940625295339,0.56,10819,0.3
DNd05,720575941537766632,720575941537766632,720575940631333195,0.42,12898,0.59
AN07B005,720575941552024575,720575941552024575,NA,0.54,10540,0.55
DNge141,720575941477419828,720575941477419828,720575940627044885,0.43,13139,0.45
DNg104,720575941401962787,720575941401962787,720575940631282194,0.43,20464,0.4
DNp34,720575941508061975,720575941474126944,720575940642894628,0.51,11894,0.45
DNp35,720575941560162798,720575941560162798,720575940628437291,0.53,15511,0.56
DNp14,720575941566170422,720575941566170422,720575940640747352,0.34,12623,0.31
AN18B004,720575941571900232,720575941571900232,720575940619346102,0.41,10334,0.52
DNge048,720575941589304644,720575941589304644,720575940609376707,0.41,12025,0.47
DNp104,720575941441452373,720575941671658407,720575940623122125,0.55,26767,0.36
DNg88,720575941528320952,720575941528320952,720575940621065301,0.49,11541,0.53
DNa16,720575941566543714,720575941507568709,720575940621519130,0.52,11187,0.36
AN19A018_d,720575941574851510,720575941574851510,720575940618095892,0.47,10449,0.54
DNp63,720575941551948543,720575941551948543,720575940636610671,0.45,16075,0.5
AN09B002,720575941471550475,720575941471550475,"720575940632815315, 720575940620192677",0.15,11408,0.54
ANXXX043,720575941530242180,720575941516048121,720575940625319245,0.38,12467,0.5
AN18B004,720575941450363770,720575941450363770,NA,0.25,10451,0.49
AN05B004,720575941625422076,720575941458813680,720575940647036724,0.33,10327,0.34
DNa13,720575941578803025,720575941578803025,720575940625502666,0.56,11164,0.52
AN27X009,720575941452429690,720575941452429690,720575940609082180,0.44,10378,0.4
DNp55,720575941566793879,720575941450587726,720575940643347616,0.49,12257,0.63
AN05B006,720575941458803952,720575941458803952,720575940630026745,0.41,10758,0.47
DNp12,720575941515630947,720575941515630947,720575940629421159,0.46,11413,0.52
DNg15,720575941535140362,720575941535140362,720575940627825923,0.49,10101,0.37
DNae007,720575941595376677,720575941595376677,720575940615043222,0.52,26713,0.58
DNg68,720575941598469276,720575941598469276,720575940629543409,0.48,13553,0.5
DNge079,720575941724607290,720575941564432786,720575940632296519,0.47,10117,0.5
DNp13,720575941682268861,720575941542534236,720575940619486891,0.55,10962,0.3
DNa09,720575941490717390,720575941490717390,720575940620711334,0.5,12406,0.59
AN06B002,720575941633589179,720575941633589179,720575940638858549,0.53,10257,0.58
DNg55,720575941504526386,720575941504526386,720575940622010373,0.51,14904,0.54
AN12B006,720575941436684576,720575941436684576,720575940620706486,0.39,153419,0.59
DNge041,720575941477145393,720575941477145393,720575940629240263,0.49,18252,0.61
DNge142,720575941482431311,720575941574979229,720575940627629598,0.45,13169,0.45
AN19A018_d,720575941490914761,720575941490914761,720575940627541954,0.41,10788,0.51
AN27X008,720575941563967847,720575941563967847,720575940630175276,0.33,13926,0.37
AN09B004,720575941450424245,720575941450424245,720575940630780589,0.54,11794,0.4
DNp34,720575941621363327,720575941516229475,720575940632903737,0.42,11931,0.43
DNg13,720575941445859754,720575941563169704,720575940616471052,0.54,10909,0.49
ANXXX043,720575941549927229,720575941549927229,720575940623165965,0.43,12467,0.47
AN19A018_d,720575941499161569,720575941499161569,720575940635632888,0.46,10282,0.51
ANXXX006,720575941644727713,720575941644727713,720575940619822942,0.37,10557,0.57
DNg96,720575941470533131,720575941470533131,720575940615715003,0.53,10995,0.6
DNpe020,720575941456679149,720575941456679149,720575940623125628,0.36,"20978, 26296",0.25
DNae002,720575941652614129,720575941652614129,720575940627139530,0.51,10633,0.43
DNg15,720575941449983581,720575941449983581,720575940625870640,0.5,10121,0.48
DNge140,720575941476214833,720575941476214833,720575940614736034,0.45,15613,0.51
DNge054,720575941518509495,720575941518509495,720575940620541099,0.51,10912,0.38
AN01B002,720575941446297514,720575941431062959,720575940638928868,0.33,10675,0.47
DNb09,720575941411472555,720575941411472555,720575940648636292,0.45,12167,0.41
DNge136,720575941612058982,720575941612058982,720575940633996883,0.39,12617,0.45
DNp11,720575941478215985,720575941668513011,720575940629777018,0.37,10113,0.6
AN05B099,720575941625561196,720575941625561196,720575940630780589,0.5,12063,0.48
DNp62,720575941492125902,720575941573657416,720575940617904208,0.41,15680,0.38
DNb09,720575941721638714,720575941721638714,720575940616826380,0.5,12304,0.49
DNp29,720575941592542604,720575941536772378,720575940635549620,0.35,18388,0.57
AN00A006,720575941487876560,720575941487876560,720575940605173792,0.31,11205,0.53
AN17A002,720575941499022049,720575941499022049,720575940611775717,0.53,10851,0.47
