cell_type,root_id,root_626,fafb_match,fafb_nblast,manc_match,manc_nblast
CB3112,720575941550949437,720575941655074521,720575940618078331,0.63,NA,0
CB2584,720575941561179886,720575941432086369,720575940625343690,0.63,NA,0
PPM1203,720575941455972915,720575941482086595,720575940627713284,0.43,NA,0
LAL126,720575941560258542,720575941560258542,720575940625054906,0.5,NA,0
LAL126,720575941515947523,720575941515947523,720575940625054906,0.47,NA,0
LHPV3c1,720575941509086302,720575941722698810,720575940615438495,0.41,NA,0
PFL2,720575941526230809,720575941526230809,720575940620952865,0.59,NA,0
CL177,720575941574462459,720575941574462459,720575940625761411,0.55,NA,0
MBON14,720575941556481508,720575941556481508,720575940643696288,0.58,NA,0
CB3321,720575941485840390,720575941485840390,720575940624457412,0.46,NA,0
SNpp06,720575941703169754,720575941703169754,NA,0,13808,0.66
AVLP235,720575941433202135,720575941447422996,720575940645813636,0.45,NA,0
CB1131,720575941533931457,720575941533931457,720575940631099091,0.49,NA,0
FB2B_b,720575941536769512,720575941536769512,720575940616377659,0.43,NA,0
CB3468,720575941620222335,720575941620222335,720575940628158875,0.43,NA,0
"LAL096,LAL097",720575941558641390,720575941558641390,720575940614281147,0.57,NA,0
PLP028,720575941629841190,720575941629841190,720575940637982552,0.52,NA,0
IbSpsP,720575941483810490,720575941483810490,720575940621283760,0.5,NA,0
CB3678,720575941477024564,720575941477024564,720575940603853792,0.49,NA,0
CB1227,720575941703304666,720575941703304666,720575940621070797,0.55,NA,0
ER1,720575941456171501,720575941456171501,720575940629379835,0.48,NA,0
CB1032,720575941520394679,720575941520394679,720575940631486765,0.42,NA,0
CB3236,720575941608684397,720575941668600563,720575940632588748,0.53,NA,0
FB9A,720575941499624315,720575941658755096,720575940632827496,0.49,NA,0
SLP319,720575941561258867,720575941463757069,720575940623453910,0.45,NA,0
SNppxx,720575941575280904,720575941575280904,NA,0,152285,0.61
AVLP476,720575941493444528,720575941493444528,720575940613941618,0.39,NA,0
CB3640,720575941690143384,720575941690143384,720575940632713759,0.45,NA,0
pC1d,720575941481788802,720575941624462332,720575940620356545,0.54,NA,0
"PS184,PS272",720575941516916115,720575941516916115,720575940633211975,0.42,NA,0
CB0581,720575941535275186,720575941535275186,720575940631335491,0.39,NA,0
PS097,720575941493095655,720575941625115803,720575940630916087,0.48,NA,0
SMP568,720575941520271064,720575941486723590,720575940628320058,0.55,NA,0
"SMP579,SMP583",720575941524435019,720575941524435019,720575940625769776,0.45,NA,0
CB2119,720575941504856114,720575941504856114,720575940616564829,0.47,NA,0
LHPV4h3,720575941434188558,720575941653696017,720575940634663319,0.51,NA,0
WED057,720575941491410124,720575941491410124,720575940631968855,0.37,NA,0
CB1547,720575941543158045,720575941543158045,720575940619791469,0.57,NA,0
PLP025b,720575941642858085,720575941642858085,720575940629427727,0.42,NA,0
FC1C,720575941537156328,720575941537156328,720575940630541416,0.58,NA,0
SMP331b,720575941516943982,720575941516943982,720575940613581378,0.54,NA,0
CB2701,720575941588195140,720575941588195140,720575940623548493,0.42,NA,0
CB1155,720575941439987291,720575941439987291,720575940615424086,0.56,NA,0
PAM02,720575941497180359,720575941495858816,720575940628708139,0.4,NA,0
CB2977,720575941455119667,720575941455119667,720575940630149829,0.58,NA,0
CB1888,720575941464866573,720575941432169687,720575940611844210,0.5,NA,0
CB1449,720575941557143332,720575941557143332,720575940610991513,0.52,NA,0
PS300,720575941595366693,720575941595366693,720575940619998630,0.46,NA,0
CL335,720575941595422247,720575941595422247,720575940635709541,0.43,NA,0
INXXX220,720575941536508186,720575941536508186,NA,0,14735,0.24
PFL1,720575941634344608,720575941551040574,720575940637475561,0.6,NA,0
DM4_vPN,720575941532244427,720575941678676413,720575940622675494,0.49,NA,0
DA3_adPN,720575941688909174,720575941688909174,720575940659400577,0.5,NA,0
CL104,720575941430357089,720575941430357089,720575940611091524,0.35,NA,0
CB1524,720575941550210877,720575941550210877,720575940613637785,0.45,NA,0
CB2999,720575941612710630,720575941576530280,720575940624018440,0.57,NA,0
CB3354,720575941573170697,720575941573170697,720575940634007891,0.55,NA,0
CB2117,720575941411225711,720575941411225711,720575940636582110,0.39,NA,0
WED164b,720575941449863861,720575941449863861,720575940637783155,0.47,NA,0
CB0638,720575941477578036,720575941477578036,720575940616759014,0.63,NA,0
VES027,720575941412424593,720575941412424593,720575940607949781,0.52,NA,0
"PS230,PLP242",720575941515795811,720575941515795811,720575940637334756,0.47,NA,0
AOTUv3B_P06,720575941445202602,720575941445202602,720575940624347540,0.36,NA,0
AVLP178,720575941608988781,720575941499689378,720575940609194082,0.44,NA,0
WED125,720575941575832424,720575941575832424,720575940628678991,0.43,NA,0
CB3516,720575941471456119,720575941471456119,720575940639859920,0.35,NA,0
CB0746,720575941614489619,720575941614489619,720575940618563664,0.56,NA,0
PS053,720575941564546816,720575941564546816,720575940609824369,0.5,NA,0
"LAL003,LAL044",720575941652857621,720575941594075350,720575940629988099,0.4,NA,0
CB1271,720575941566552167,720575941566552167,720575940614841666,0.48,NA,0
AVLP494,720575941563388840,720575941563388840,720575940617591687,0.47,NA,0
DP1m_vPN,720575941527672066,720575941507256599,720575940625207019,0.57,NA,0
ATL010,720575941576627560,720575941576627560,720575940616300061,0.53,NA,0
CB1808,720575941573219593,720575941573219593,720575940612139506,0.48,NA,0
WED033,720575941476740417,720575941476740417,720575940611638499,0.35,NA,0
PVLP134,720575941517368024,720575941517368024,720575940634946160,0.31,NA,0
CB1134,720575941574854665,720575941574854665,720575940636609166,0.46,NA,0
AOTU059,720575941505064252,720575941505064252,720575940629512248,0.49,NA,0
PAM08,720575941403837552,720575941403837552,720575940619251416,0.31,NA,0
CB0595,720575941560743981,720575941560743981,720575940628709019,0.46,NA,0
AVLP219b,720575941527884644,720575941504754226,720575940636608053,0.48,NA,0
SLP391,720575941536152513,720575941536152513,720575940636148325,0.51,NA,0
WED015,720575941680312253,720575941680312253,720575940629709250,0.39,NA,0
CB3683,720575941586912134,720575941518275288,720575940610780786,0.46,NA,0
"aSP-f1A,aSP-f1B,aSP-f2",720575941568405294,720575941568405294,720575940624562469,0.57,NA,0
CB2051,720575941681955773,720575941471753995,720575940622212615,0.47,NA,0
CB1957,720575941406044590,720575941406044590,720575940618995928,0.4,NA,0
"SLP369,SLP370",720575941547700585,720575941594546134,720575940626008764,0.49,NA,0
CB1826,720575941586525662,720575941586525662,720575940632968760,0.45,NA,0
IN19B082,720575941439727311,720575941439727311,NA,0,23311,0.23
CB2358,720575941554633956,720575941554633956,720575940616153995,0.46,NA,0
CB1577,720575941442221775,720575941442221775,720575940622090316,0.66,NA,0
CB0305,720575941515475290,720575941515475290,720575940628954954,0.44,NA,0
SLP443,720575941589083972,720575941589083972,720575940613877423,0.48,NA,0
SLP213,720575941499036897,720575941499036897,720575940628340998,0.51,NA,0
PLP013,720575941478259505,720575941427933524,720575940621869488,0.52,NA,0
SIP081,720575941453012807,720575941453012807,720575940625133145,0.55,NA,0
CB1005,720575941641541919,720575941456690416,720575940630006735,0.5,NA,0
PS038a,720575941564650496,720575941564650496,720575940623438992,0.54,NA,0
SpsP,720575941599677888,720575941591374187,720575940620963092,0.48,NA,0
CB3734,720575941558580772,720575941558580772,720575940628964089,0.46,NA,0
CB1002,720575941570720882,720575941594740261,720575940625470863,0.41,NA,0
PLP100,720575941564348562,720575941564348562,720575940622623785,0.44,NA,0
CB3113,720575941615676313,720575941615676313,720575940603905312,0.44,NA,0
CL022,720575941630611238,720575941461900228,720575940607614475,0.44,NA,0
OCC01a,720575941535742698,720575941535742698,720575940628112765,0.44,NA,0
CL359,720575941555766867,720575941555766867,720575940625334970,0.48,NA,0
CL115,720575941537792995,720575941537792995,720575940622520140,0.42,NA,0
AVLP089,720575941477384500,720575941477384500,720575940628540315,0.47,NA,0
"PVLP004,PVLP005",720575941458704368,720575941458704368,720575940616046405,0.48,NA,0
CB1371,720575941688821004,720575941688821004,720575940631387949,0.44,NA,0
CB3341,720575941416768284,720575941416768284,720575940621006945,0.36,NA,0
AVLP312b,720575941587391300,720575941587391300,720575940644000548,0.37,NA,0
AVLP194_c,720575941509742352,720575941509742352,720575940616580511,0.45,NA,0
MNhl87,720575941562029224,720575941562029224,NA,0,15857,0.46
AVLP093,720575941687884812,720575941687884812,720575940621104628,0.41,NA,0
AVLP302,720575941442100431,720575941442100431,720575940634147991,0.46,NA,0
CB2084,720575941416304668,720575941416304668,720575940623974069,0.4,NA,0
CB2671,720575941661781304,720575941661781304,720575940607497429,0.49,NA,0
CB1745,720575941563101447,720575941563101447,720575940626533063,0.47,NA,0
SLPpm3_P02,720575941404924016,720575941404924016,720575940625312698,0.44,NA,0
"LAL160,LAL161",720575941472446475,720575941596473477,720575940617720577,0.5,NA,0
CB2044,720575941430743566,720575941430743566,720575940613537686,0.32,NA,0
"CL123,CRE061",720575941565335047,720575941565335047,720575940623756983,0.38,NA,0
CB1183,720575941480339363,720575941480339363,720575940606999682,0.44,NA,0
CB2952,720575941439615199,720575941439615199,720575940611469518,0.5,NA,0
CB3029,720575941490319054,720575941490319054,720575940622417737,0.48,NA,0
CB1462,720575941652773617,720575941652773617,720575940628411706,0.43,NA,0
CB3729,720575941545871109,720575941439506261,720575940608749525,0.68,NA,0
vDeltaA_a,720575941703327194,720575941703327194,720575940636322367,0.7,NA,0
SNta35,720575941439243349,720575941439243349,NA,0,46528,0.7
PLP010,720575941519528302,720575941519528302,720575940620918443,0.5,NA,0
CB0303,720575941563503016,720575941563503016,720575940616186507,0.48,NA,0
AOTU047,720575941515445059,720575941515445059,720575940617942336,0.53,NA,0
PS186,720575941508507973,720575941565751959,720575940635709295,0.5,NA,0
CB3143,720575941667403953,720575941667403953,720575940635095141,0.41,NA,0
CB2421,720575941597916864,720575941597916864,720575940643782048,0.51,NA,0
CB2194,720575941412182699,720575941596229489,720575940620171796,0.36,NA,0
CB1225,720575941651976725,720575941651976725,720575940635495543,0.59,NA,0
AOTU012,720575941537969635,720575941537969635,720575940621326529,0.56,NA,0
IN14B009,720575941461969107,720575941461969107,NA,0,13795,0.51
"SAD045,SAD046",720575941509622145,720575941702347226,720575940618199094,0.46,NA,0
PLP003,720575941467778326,720575941467778326,720575940613795880,0.49,NA,0
l_NSC_DH31,720575941655645652,720575941655645652,720575940622880525,0.53,NA,0
AVLP294,720575941565315170,720575941565315170,720575940609831214,0.45,NA,0
CL323b,720575941651340821,720575941651340821,720575940613436327,0.43,NA,0
VP1l+_lvPN,720575941477588788,720575941477588788,720575940625176094,0.59,NA,0
SMP171,720575941412380561,720575941412380561,720575940631954251,0.43,NA,0
PAM11,720575941634119328,720575941691116184,720575940614293485,0.5,NA,0
CL292b,720575941490716725,720575941490716725,720575940639787661,0.52,NA,0
CB2877,720575941655633364,720575941655633364,720575940623288467,0.45,NA,0
LAL200,720575941441436607,720575941441436607,720575940646682676,0.7,NA,0
IN05B014,720575941554937572,720575941554937572,NA,0,11820,0.29
PVLP030,720575941546449588,720575941546449588,720575940614979634,0.55,NA,0
ExR8,720575941691881691,720575941478646435,720575940621854563,0.57,NA,0
"SAD011,SAD019",720575941473592635,720575941473592635,720575940632084141,0.42,NA,0
CB3906,720575941624329418,720575941624329418,720575940606819849,0.34,NA,0
CB1573,720575941534336600,720575941534336600,720575940625767196,0.53,NA,0
CB0495,720575941529294724,720575941529294724,720575940621814911,0.5,NA,0
SLP278,720575941478011697,720575941488177872,720575940624983054,0.47,NA,0
CB0687,720575941654540305,720575941629980454,720575940632998028,0.52,NA,0
CL071a,720575941527996493,720575941540473037,720575940628732715,0.4,NA,0
IN12B044,720575941499749026,720575941499749026,NA,0,20419,0.32
LHAV4a1_b,720575941482066511,720575941560179983,720575940636508517,0.55,NA,0
CL204,720575941490675765,720575941490675765,720575940630431225,0.5,NA,0
CB3345,720575941589107012,720575941589107012,720575940614367715,0.49,NA,0
SMP570b,720575941472724778,720575941472724778,720575940616511961,0.33,NA,0
CB1181,720575941460746128,720575941460746128,720575940613788172,0.47,NA,0
PLP172,720575941514629585,720575941584772486,720575940618116766,0.48,NA,0
CL205,720575941504980567,720575941644344658,720575940627993752,0.55,NA,0
CB2283,720575941612323245,720575941612323245,720575940632077899,0.46,NA,0
AVLP279,720575941538821581,720575941538821581,720575940651412982,0.34,NA,0
PVLP144,720575941461937604,720575941461937604,720575940619441345,0.5,NA,0
LHAD1a2,720575941509547810,720575941613655260,720575940639173173,0.42,NA,0
CL005,720575941488958158,720575941488958158,720575940626806248,0.46,NA,0
PLP008,720575941579829237,720575941579829237,720575940611085425,0.55,NA,0
SNxx26,720575941514810202,720575941514810202,NA,0,26149,0.65
CB2193,720575941483125187,720575941502945330,720575940625150000,0.5,NA,0
CB1055,720575941518187948,720575941518187948,720575940619819802,0.39,NA,0
CB1237,720575941491987687,720575941491987687,720575940619953172,0.45,NA,0
CB2047,720575941548264072,720575941548264072,720575940643301412,0.53,NA,0
CB2973,720575941575896502,720575941575896502,720575940622213953,0.56,NA,0
CB2448,720575941412685713,720575941412685713,720575940615067688,0.36,NA,0
SNta33,720575941405296752,720575941405296752,NA,0,26724,0.53
WG3,720575941722075706,720575941722075706,NA,0,34296,0.88
WG2,720575941533990232,720575941533990232,NA,0,177206,0.76
CB1800,720575941588260932,720575941588260932,720575940608461251,0.15,NA,0
CB1275,720575941558304164,720575941517058451,720575940631766339,0.46,NA,0
WG2,720575941528173700,720575941528173700,NA,0,30467,0.81
CB2213,720575941642237285,720575941642237285,720575940611852072,0.34,NA,0
CB2148,720575941496341703,720575941496341703,720575940628372123,0.47,NA,0
CB1663,720575941462564548,720575941514007372,720575940643781024,0.36,NA,0
PLP039,720575941631398892,720575941631398892,720575940623036680,0.56,NA,0
CB2045,720575941458940144,720575941458940144,720575940614662517,0.46,NA,0
CB1753,720575941537816296,720575941537816296,720575940629040119,0.52,NA,0
CB1663,720575941439770847,720575941439770847,720575940643781024,0.45,NA,0
LHPD3a2,720575941613653468,720575941613653468,720575940630659781,0.43,NA,0
SMP184,720575941556452580,720575941556452580,720575940630373314,0.39,NA,0
AVLP069,720575941579042385,720575941579042385,720575940624594320,0.52,NA,0
CB1437,720575941432003425,720575941432003425,720575940623273254,0.39,NA,0
CB1935,720575941513500227,720575941513500227,720575940623182827,0.4,NA,0
CB1167,720575941558340367,720575941558340367,720575940616640980,0.45,NA,0
SNxx03,720575941594202475,720575941594202475,NA,0,43585,0.94
CB2701,720575941663522684,720575941663522684,720575940623548493,0.42,NA,0
LHAV1b3,720575941537266369,720575941539281138,720575940626069962,0.39,NA,0
OCC02a,720575941577656565,720575941577656565,720575940616245446,0.5,720575940616245446,0
AVLP594,720575941550356257,720575941535698354,720575940633413715,0.39,NA,0
IB065,720575941681959357,720575941631260642,720575940614828082,0.44,NA,0
CB1570,720575941644434888,720575941644434888,720575940622428167,0.51,NA,0
LHAV4b2,720575941566181218,720575941549773117,720575940635566840,0.55,NA,0
PLP064_a,720575941529191812,720575941529191812,720575940620664000,0.48,NA,0
CL100,720575941466850390,720575941466850390,720575940631737593,0.46,NA,0
CB2342,720575941480347727,720575941480347727,720575940620841825,0.49,NA,0
CB2679,720575941462724752,720575941462724752,720575940625767568,0.36,NA,0
IB017,720575941626135754,720575941626135754,720575940615647500,0.41,NA,0
"SAD045,SAD046",720575941472504075,720575941595110870,720575940618199094,0.47,NA,0
AVLP541b,720575941644344402,720575941644344402,720575940630680314,0.39,NA,0
CRE065,720575941511509714,720575941511509714,720575940629354455,0.4,NA,0
CB1904,720575941656789460,720575941471588875,720575940621556743,0.55,NA,0
IB059a,720575941409463726,720575941540598909,720575940622189388,0.5,NA,0
AVLP282,720575941601621801,720575941565408354,720575940609665400,0.5,NA,0
LHPV11a1,720575941535186610,720575941535186610,720575940628412145,0.52,NA,0
SLP465b,720575941463945229,720575941463945229,720575940627016229,0.56,NA,0
CB1843,720575941563563527,720575941563563527,720575940631390940,0.38,NA,0
CB2919,720575941655208665,720575941655208665,720575940627291402,0.49,NA,0
MBON20,720575941439665983,720575941439665983,720575940611344078,0.48,NA,0
AVLP562,720575941514764620,720575941576341686,720575940614009553,0.49,NA,0
CB0599,720575941490606796,720575941490606796,720575940619170462,0.47,NA,0
LNd_b,720575941393686934,720575941393686934,720575940611617838,0.48,NA,0
AVLP471,720575941448100686,720575941448100686,720575940629032603,0.53,NA,0
CB2699,720575941445059754,720575941445059754,720575940610484270,0.45,NA,0
LHCENT12b,720575941644339538,720575941644339538,720575940624677709,0.5,NA,0
SNta03,720575941556197860,720575941556197860,NA,0,32193,0.53
CB1256,720575941582729311,720575941582729311,720575940615894246,0.48,NA,0
AVLP432,720575941503101579,720575941471758859,720575940630291671,0.45,NA,0
INXXX107,720575941480226272,720575941480226272,NA,0,12353,0.28
SMP252,720575941546843836,720575941546843836,720575940611456661,0.44,NA,0
MBON07,720575941581870969,720575941581870969,720575940617302365,0.52,NA,0
CB2070,720575941655792084,720575941655792084,720575940620444788,0.58,NA,0
"LHAD1b2_a,LHAD1b2_c",720575941454165299,720575941454165299,720575940643371424,0.49,NA,0
CB1426,720575941537836003,720575941537836003,720575940623053493,0.42,NA,0
PS150,720575941526986150,720575941526986150,720575940622717683,0.28,NA,0
LHAV9a1_b,720575941543199773,720575941543199773,720575940632808249,0.46,NA,0
CB2122,720575941468103958,720575941468103958,720575940631305004,0.32,NA,0
IbSpsP,720575941538571496,720575941497428041,720575940613869974,0.53,NA,0
CB0993,720575941570760350,720575941570760350,720575940630911533,0.58,NA,0
FB4Y,720575941506452284,720575941506452284,720575940615612066,0.55,NA,0
SIP006,720575941566617134,720575941566617134,720575940631159599,0.51,NA,0
SLP033,720575941580634961,720575941563364264,720575940632027473,0.44,NA,0
FC2B,720575941609540426,720575941609540426,720575940622713638,0.59,NA,0
SLP387,720575941483297478,720575941483297478,720575940604246304,0.49,NA,0
CRE103b,720575941415262353,720575941546609257,720575940615542951,0.56,NA,0
CB2218,720575941555641242,720575941526324505,720575940617028406,0.48,NA,0
CB1185,720575941643346277,720575941643346277,720575940650711798,0.53,NA,0
CB1759,720575941536205539,720575941536205539,720575940625677193,0.5,NA,0
CB2007,720575941553344255,720575941485988930,720575940620842996,0.51,NA,0
CB2648,720575941628163897,720575941628163897,720575940625976394,0.44,NA,0
PAM01,720575941575625629,720575941568446766,720575940636309093,0.34,NA,0
SMP381,720575941688776310,720575941688776310,720575940636419508,0.5,NA,0
PFNa,720575941531374309,720575941531374309,720575940638076733,0.57,NA,0
PLP042a,720575941564416007,720575941564416007,720575940633933337,0.45,NA,0
PFNp,720575941625121418,720575941625121418,720575940608064707,0.59,NA,0
PFNa,720575941564328343,720575941564328343,720575940638076733,0.56,NA,0
CB1997,720575941566989358,720575941566989358,720575940624992258,0.5,NA,0
M_lPNm11A,720575941630785733,720575941630785733,720575940613613619,0.52,NA,0
IN19A098,720575941531180472,720575941517679532,NA,0,30013,0.33
IN13A058,720575941482188195,720575941462716429,NA,0,21372,0.54
IN08A050,720575941562105768,720575941562105768,NA,0,30827,0.53
IN14B011,720575941548912445,720575941548912445,NA,0,15767,0.55
IN16B070,720575941520057783,720575941520057783,NA,0,16343,0.43
IN08A021,720575941482785021,720575941482785021,NA,0,16352,0.55
IN16B061,720575941603899070,720575941603899070,NA,0,24960,0.48
IN13A005,720575941446282666,720575941534091698,NA,0,153433,0.52
IN08A050,720575941453284777,720575941453284777,NA,0,158757,0.56
IN08A030,720575941547158196,720575941547158196,NA,0,27122,0.57
IN08A046,720575941689874072,720575941689874072,NA,0,26020,0.51
IN19A061,720575941564111202,720575941564111202,NA,0,14231,0.42
IN17A061,720575941427621204,720575941427621204,NA,0,15530,0.54
IN16B055,720575941574185467,720575941574185467,NA,0,12093,0.51
IN09A012,720575941536348760,720575941489677769,NA,0,100513,0.49
IN09A096,720575941452261427,720575941452261427,NA,0,34073,0.27
IN09A071,720575941429602145,720575941429602145,NA,0,156975,0.4
IN09A096,720575941488023605,720575941488023605,NA,0,34073,0.35
CB1122,720575941497573794,720575941497573794,720575940603235500,0.51,NA,0
CB2333,720575941533712138,720575941533712138,720575940632273325,0.57,NA,0
SAD074,720575941537808872,720575941537808872,720575940629382700,0.45,NA,0
CB1941,720575941470472311,720575941470472311,720575940617973149,0.55,NA,0
CB0556,720575941591028734,720575941591028734,720575940626138701,0.5,NA,0
CB1786,720575941450568519,720575941450568519,720575940627574921,0.52,NA,0
CB0539,720575941475206954,720575941475206954,720575940639112765,0.51,NA,0
CB0580,720575941535994546,720575941441916507,720575940618165393,0.51,NA,0
CB0865,720575941453725255,720575941595564583,720575940621057702,0.51,NA,0
LHAD2e3,720575941559024366,720575941559024366,720575940612803094,0.52,NA,0
AVLP120,720575941472134464,720575941472134464,720575940618188859,0.4,NA,0
CB1198,720575941407709743,720575941407709743,720575940620910774,0.48,NA,0
IN06B017,720575941553942846,720575941589260100,NA,0,10160,0.6
"SMP602,SMP094",720575941496942464,720575941496942464,720575940629330944,0.5,NA,0
PFR_a,720575941527295928,720575941527295928,720575940627935610,0.55,NA,0
CB0228,720575941599647785,720575941599647785,720575940615393959,0.39,NA,0
CB3803,720575941563449398,720575941563449398,720575940631381037,0.36,NA,0
CB3800,720575941526906212,720575941526906212,720575940628005245,0.42,NA,0
CB0596,720575941414482833,720575941414482833,720575940628306114,0.38,NA,0
CRE100,720575941438689042,720575941438689042,720575940649591673,0.46,NA,0
CB4058,720575941625376508,720575941593045288,720575940643867296,0.54,NA,0
CB1925,720575941543094557,720575941543094557,720575940603676076,0.49,NA,0
IN01A083,720575941611969453,720575941611969453,NA,0,25740,0.57
IN09B053,720575941546788385,720575941546788385,NA,0,102212,0.39
IN16B064,720575941523515723,720575941523515723,NA,0,20629,0.65
IN14A114,720575941503135538,720575941503135538,NA,0,32941,0.5
IN14A064,720575941439360530,720575941553310874,NA,0,24691,0.53
IN14A015,720575941630017762,720575941630017762,NA,0,17505,0.55
IN13A035,720575941476032817,720575941476032817,NA,0,18829,0.47
WED076,720575941627464330,720575941645216632,720575940619412037,0.55,NA,0
CB1096,720575941555131556,720575941555131556,720575940609425874,0.52,NA,0
IN09A010,720575941549987444,720575941549987444,NA,0,10679,0.56
IN01B007,720575941433058318,720575941433058318,NA,0,100209,0.57
IN01B010,720575941514995193,720575941514995193,NA,0,15677,0.57
FB5W,720575941557579812,720575941557579812,720575940625146109,0.46,NA,0
AL-AST1,720575941467776278,720575941467776278,720575940634773951,0.57,NA,0
CB3486,720575941449201501,720575941449201501,720575940612016498,0.4,NA,0
CB2126,720575941612282643,720575941612282643,720575940610727630,0.5,NA,0
CB0249,720575941545891772,720575941545891772,720575940623166733,0.46,NA,0
IN16B045,720575941560277549,720575941560277549,NA,0,15001,0.55
IN16B058,720575941564097031,720575941564097031,NA,0,22184,0.51
IN08A036,720575941507257925,720575941507257925,NA,0,21340,0.49
IN16B061,720575941455572973,720575941455572973,NA,0,102064,0.48
IN08A008,720575941703171802,720575941703171802,NA,0,11353,0.57
IN08A041,720575941549474877,720575941549474877,NA,0,16183,0.42
IN08A021,720575941526672973,720575941526672973,NA,0,16352,0.54
IN16B022,720575941508295774,720575941508295774,NA,0,12540,0.58
IN16B061,720575941651536113,720575941651536113,NA,0,18709,0.46
IN08A036,720575941456024304,720575941456024304,NA,0,20896,0.4
IN08A036,720575941641502546,720575941641502546,NA,0,20896,0.4
IN09A003,720575941532496357,720575941532496357,NA,0,10983,0.55
IN13A043,720575941497278587,720575941497278587,NA,0,22903,0.51
IN16B050,720575941594865777,720575941594865777,NA,0,17420,0.48
IN08A024,720575941579639121,720575941579639121,NA,0,20344,0.59
IN08A041,720575941512526403,720575941512526403,NA,0,26384,0.35
IN16B034,720575941536291816,720575941536291816,NA,0,13940,0.46
IN17A022,720575941611960237,720575941611960237,NA,0,12205,0.55
IN16B060,720575941588007492,720575941588007492,NA,0,20828,0.42
IN08A050,720575941512847180,720575941512847180,NA,0,28136,0.54
IN09A006,720575941612940774,720575941431078575,NA,0,11925,0.52
IN09A071,720575941468905995,720575941468905995,NA,0,22339,0.4
IN19A011,720575941548447521,720575941548447521,NA,0,101794,0.56
IN17A025,720575941526964249,720575941526964249,NA,0,12158,0.6
IN14B007,720575941400818723,720575941400818723,NA,0,11822,0.55
IN09A096,720575941511884241,720575941511884241,NA,0,34073,0.31
IN17A016,720575941690972056,720575941690972056,NA,0,11924,0.57
IN16B036,720575941544954556,720575941544954556,NA,0,13905,0.52
IN07B016,720575941414330001,720575941414330001,NA,0,11275,0.47
INXXX321,720575941687455244,720575941687455244,NA,0,14727,0.58
IN08A002,720575941525827684,720575941525827684,NA,0,10332,0.58
IN16B033,720575941449947229,720575941449947229,NA,0,11792,0.55
IN08A041,720575941431254743,720575941431254743,NA,0,32925,0.48
IN08A034,720575941571043316,720575941475351611,NA,0,24993,0.56
IN17A017,720575941596553511,720575941655469780,NA,0,11812,0.57
IN17A052,720575941548923965,720575941548923965,NA,0,14803,0.55
IN17A041,720575941652546033,720575941652546033,NA,0,11666,0.54
IN17A020,720575941401795619,720575941401795619,NA,0,11966,0.54
INXXX468,720575941569375994,720575941569375994,NA,0,15115,0.57
IN16B042,720575941670491815,720575941670491815,NA,0,15452,0.54
IN08A030,720575941515614563,720575941515614563,NA,0,24121,0.53
IN14B010,720575941611716883,720575941611716883,NA,0,14066,0.33
IN08A007,720575941644226248,720575941644226248,NA,0,11744,0.56
IN16B076,720575941565863175,720575941565863175,NA,0,20652,0.52
IN04B066,720575941478849857,720575941564389888,NA,0,20077,0.56
CB0083,720575941412154027,720575941613691356,720575940627537753,0.54,NA,0
CB2391,720575941405752944,720575941545733993,720575940633539103,0.44,NA,0
CB0628,720575941565099618,720575941565099618,720575940637826118,0.49,NA,0
CB3587,720575941452964935,720575941452964935,720575940622746150,0.51,NA,0
IN13A051,720575941489308213,720575941489308213,NA,0,14387,0.52
IN13A051,720575941472113706,720575941472113706,NA,0,29980,0.4
IN13A011,720575941439191637,720575941439191637,NA,0,10889,0.49
IN09A014,720575941535539226,720575941535539226,NA,0,15164,0.47
IN08A022,720575941613437916,720575941613437916,NA,0,19858,0.45
IN13A047,720575941458953412,720575941458953412,NA,0,17856,0.38
IN13A041,720575941521741239,720575941521741239,NA,0,18168,0.4
IN13A012,720575941477921601,720575941477921601,NA,0,12104,0.56
IN13A060,720575941552582791,720575941552582791,NA,0,20792,0.54
IN13A010,720575941480232160,720575941480232160,NA,0,12026,0.55
IN13A071,720575941412004756,720575941412004756,NA,0,28474,0.39
FB3B,720575941557572772,720575941557572772,720575940610306146,0.59,NA,0
IN06A006,720575941662348344,720575941662348344,NA,0,12088,0.59
CB1065,720575941490583244,720575941490583244,720575940622009676,0.44,NA,0
CB0865,720575941681274301,720575941681274301,720575940626289021,0.5,NA,0
VESa1_P02,720575941540051349,720575941504661698,720575940612840982,0.53,NA,0
CB0527,720575941528041986,720575941552732478,720575940623455239,0.49,NA,0
IN17A007,720575941592919080,720575941592919080,NA,0,11281,0.54
IN18B018,720575941654967257,720575941654967257,NA,0,11994,0.52
IN07B006,720575941496370814,720575941489431093,NA,0,10340,0.54
IN07B002,720575941438574303,720575941438574303,NA,0,10264,0.56
l_NSC_CRZ,720575941626483001,720575941626483001,720575940609268316,0.5,NA,0
l_NSC_unknown,720575941433374990,720575941433374990,720575940622644872,0.21,NA,0
SMP422,720575941477955633,720575941471851584,720575940629951481,0.48,NA,0
l_NSC_unknown,720575941663719804,720575941663719804,720575940622644872,0.26,NA,0
l_NSC_DH31,720575941450146638,720575941450146638,720575940644303639,0.34,NA,0
EN00B026,720575941539999693,720575941539999693,NA,0,15732,0.6
EN00B008_T1,720575941457290733,720575941457290733,NA,0,11675,0.44
accessory_tibia_flexor_A_out_of_bundle,720575941515355795,720575941515355795,NA,0,18412,0.45
