neuron1	neuron2	score
720575941504526386	720575940622010373	0.625073
720575941436684576	720575940620706486	0.419281
720575941477145393	720575940629240263	0.647656
720575941574979229	720575940627629598	0.560486
720575941490914761	720575940627541954	0.406557
720575941563967847	720575940630175276	0.463015
720575941450424245	720575940630780589	0.456231
720575941516229475	720575940632903737	0.618356
720575941563169704	720575940616471052	0.588427
720575941549927229	720575940623165965	0.441151
720575941499161569	720575940635632888	0.435916
720575941644727713	720575940619822942	0.0845775
720575941470533131	720575940615715003	0.605351
720575941652614129	720575940627139530	0.619611
720575941449983581	720575940625870640	0.578114
720575941476214833	720575940614736034	0.605941
720575941518509495	720575940620541099	0.671215
720575941431062959	720575940638928868	0.381379
720575941411472555	720575940648636292	0.640804
720575941612058982	720575940633996883	0.589857
720575941668513011	720575940629777018	0.570796
720575941625561196	720575940630780589	0.467989
720575941573657416	720575940617904208	0.67012
720575941721638714	720575940616826380	0.636767
720575941536772378	720575940635549620	0.666577
720575941487876560	720575940605173792	0.42689
720575941499022049	720575940611775717	0.42664
720575941568889332	720575940617716566	0.435821
720575941506736956	720575940622675421	0.674908
720575941703180762	720575940624431288	0.472292
720575941628237625	720575940606607234	0.595985
720575941569579002	720575940620589147	0.418296
720575941449875893	720575940619116061	0.590273
720575941536279745	720575940625530114	0.404774
720575941496684672	720575940621119061	0.586927
720575941633779387	720575940635872101	0.599682
720575941701235930	720575940629866283	0.582818
720575941499916962	720575940632674003	0.391687
720575941514064716	720575940629736720	0.575001
720575941618895231	720575940630758418	0.641302
720575941703350746	720575940636686170	0.446425
720575941455535923	720575940617871394	0.428945
720575941441987023	720575940637650830	0.408305
720575941585920646	720575940623700661	0.398936
720575941515951459	720575940614648273	0.49007
720575941470003677	720575940631520312	0.632855
720575941440379733	720575940626562833	0.641869
720575941560434035	720575940639314229	0.641526
720575941491127246	720575940612306786	0.466529
720575941519658862	720575940629846722	0.635713
720575941472178752	720575940618314897	0.675683
720575941486437954	720575940627015196	0.496629
720575941438773548	720575940634253281	0.62477
720575941487783888	720575940625454162	0.442261
720575941632241900	720575940614298986	0.440767
720575941454918195	720575940633142831	0.415473
720575941549448225	720575940626097482	0.399864
720575941573616891	720575940645258606	0.621936
720575941521256115	720575940624877360	0.544659
720575941448018196	720575940607170178	0.548088
720575941527011865	720575940617894429	0.448729
